date,id,matched_keywords,coder_A_label,coder_B_label,Gold_label,gpt_4_1_label,gpt_3_5_turbo_label,claude_sonnet_4_6_label,gemini_2_5_pro_label
2023-02-10,1623950000000000000,['responsible'],0,0,0,0,0,0,0
2023-01-18,1615590000000000000,['secure'],1,1,1,0,0,0,0
2023-02-01,1620890000000000000,['response'],0,0,0,0,0,0,0
2023-01-17,1615430000000000000,['response'],0,0,0,0,0,0,0
2023-01-11,1613120000000000000,['safaricomexposed'],0,0,0,0,0,0,0
2023-02-18,1626950000000000000,"['regulations', 'safety', 'ethics', 'fairness', 'regulations']",1,1,1,1,0,1,1
2023-02-14,1625450000000000000,['security'],1,1,1,1,0,1,1
2023-01-06,1611390000000000000,['risks'],1,1,1,1,1,1,1
2023-02-22,1628430000000000000,"['privacy', 'safeguards']",1,1,1,1,0,0,1
2023-03-10,1634250000000000000,['explain'],0,0,0,0,0,0,0
2023-03-24,1639340000000000000,"['manipulators', 'disinformation']",1,1,1,1,1,1,1
2023-02-08,1623360000000000000,['explains'],1,1,1,1,1,1,1
2023-03-11,1634520000000000000,['automation'],0,0,0,0,0,0,0
2023-03-01,1630850000000000000,"['biased', 'biased']",1,1,1,1,1,1,1
2023-02-23,1628820000000000000,['bias'],1,1,1,1,1,1,1
2023-02-18,1626900000000000000,['ethics'],0,0,0,0,0,0,0
2023-01-10,1612740000000000000,"['privacy', 'security']",1,1,1,1,1,1,1
2023-02-24,1629170000000000000,['response'],0,0,0,0,0,0,0
2023-02-09,1623500000000000000,['response'],0,0,0,0,1,0,1
2023-02-13,1624930000000000000,['biases'],1,1,1,1,1,1,1
2023-01-13,1614020000000000000,['bias'],1,1,1,1,1,1,1
2023-02-03,1621460000000000000,['risk'],1,1,1,0,1,1,1
2023-02-23,1628770000000000000,['copyright'],0,0,0,0,0,0,0
2023-03-03,1631610000000000000,['automation'],0,0,0,0,0,0,0
2023-01-12,1613620000000000000,['response'],0,0,0,0,0,0,0
2023-02-09,1623770000000000000,['hallucination'],0,0,0,0,0,1,1
2023-01-25,1618120000000000000,['safe'],0,0,0,0,0,0,0
2023-03-16,1636420000000000000,['risk'],0,0,0,0,0,0,0
2023-02-21,1628140000000000000,"['propaganda', 'surveil']",1,1,1,1,1,1,1
2023-02-04,1621860000000000000,['explaining'],0,0,0,0,0,0,0
2023-02-23,1628680000000000000,['security'],1,1,1,1,1,1,1
2023-03-22,1638450000000000000,['safe'],1,1,1,1,1,1,1
2023-03-27,1640360000000000000,['interpreting'],0,0,0,0,0,0,0
2023-01-31,1620330000000000000,['security'],1,1,1,1,1,1,1
2023-02-03,1621640000000000000,"['safe', 'safe']",0,0,0,0,0,0,0
2023-02-14,1625500000000000000,['response'],1,1,1,1,1,1,1
2023-01-15,1614700000000000000,['explained'],0,0,0,0,0,0,0
2023-03-17,1636870000000000000,"['risk', 'safe', 'safe']",0,0,0,0,0,0,0
2023-03-15,1635990000000000000,['governemnt'],0,0,0,0,0,0,0
2023-02-12,1624660000000000000,['account'],0,0,0,0,0,1,1
2023-01-08,1612110000000000000,['biased'],1,1,1,0,0,1,0
2023-03-05,1632450000000000000,"['risk', 'automation']",0,0,0,0,0,0,0
2023-03-25,1639520000000000000,['sustainability'],0,0,0,0,0,0,0
2023-02-21,1628060000000000000,['privacy'],0,0,0,0,0,0,0
2023-01-30,1620030000000000000,"['misinformation', 'responses', 'response']",1,1,1,1,1,1,1
2023-01-16,1614900000000000000,['security'],1,1,1,1,0,1,1
2023-01-11,1613260000000000000,['safe'],0,0,0,0,0,0,0
2023-02-21,1628160000000000000,['fairytale'],0,0,0,0,0,0,0
2023-02-24,1629150000000000000,['responses'],0,0,0,0,0,0,0
2023-01-25,1618360000000000000,['ethics'],1,1,1,1,0,1,1
2023-01-13,1613900000000000000,['labor'],0,0,0,0,0,0,0
2023-02-22,1628540000000000000,['security'],0,0,0,1,1,1,1
2023-01-26,1618750000000000000,['explaining'],1,1,1,1,0,1,1
2023-02-17,1626540000000000000,['response'],0,0,0,0,0,0,0
2023-02-09,1623630000000000000,['automated'],0,0,0,0,0,0,0
2023-02-28,1630700000000000000,['regulatory'],0,0,0,0,0,0,1
2023-02-20,1627490000000000000,"['risk', 'risk']",1,1,1,1,1,1,1
2023-03-18,1637180000000000000,['trust'],0,0,0,0,0,0,0
2023-03-24,1639330000000000000,['regulation'],1,1,1,1,1,1,1
2023-01-29,1619490000000000000,['responsibilities'],1,1,1,1,0,1,1
2023-03-01,1630800000000000000,['automation'],0,0,0,0,0,1,1
2023-03-28,1640770000000000000,"['disinformation', 'ethical']",1,1,1,1,1,1,1
2023-03-13,1635220000000000000,['explained'],0,0,0,0,0,0,0
2023-02-21,1628040000000000000,"['biased', 'propaganda']",1,1,1,1,1,1,1
2023-03-28,1640730000000000000,['accounts'],0,0,0,1,1,1,1
2023-02-28,1630650000000000000,['regulated'],0,0,0,0,0,0,0
2023-02-06,1622650000000000000,['biased'],1,1,1,1,1,1,1
2023-03-17,1636760000000000000,"['disinformation', 'bias']",1,1,1,1,1,1,1
2023-03-23,1638890000000000000,['automating'],0,0,0,0,0,0,0
2023-02-25,1629570000000000000,['automate'],0,0,0,0,0,0,0
2023-03-27,1640220000000000000,['response'],0,0,0,0,0,0,0
2023-02-04,1621870000000000000,['responses'],0,0,0,0,0,0,0
2023-03-23,1638970000000000000,['hallucinate'],0,0,0,0,0,0,0
2023-02-21,1628100000000000000,['responsibly'],0,0,0,0,0,0,0
2023-02-21,1628150000000000000,['response'],0,0,0,0,0,1,1
2023-01-05,1611060000000000000,"['transparency', 'transparency']",0,0,0,0,0,1,1
2023-01-18,1615650000000000000,"['regulatory', 'ethical']",1,1,1,0,1,1,1
2023-02-19,1627200000000000000,['account'],1,1,1,1,0,1,1
2023-03-21,1638210000000000000,['privacy'],0,0,0,1,0,1,1
2023-01-10,1612880000000000000,['explain'],0,0,0,0,0,0,0
2023-02-09,1623480000000000000,"['biased', 'manipulated']",1,1,1,1,1,1,1
2023-02-21,1628070000000000000,['automated'],0,0,0,0,0,0,0
2023-03-27,1640460000000000000,['security'],1,0,1,1,1,1,1
2023-03-10,1634200000000000000,['dignity'],0,0,0,0,0,1,1
2023-01-05,1610800000000000000,['responsible'],1,1,1,0,0,0,0
2023-03-19,1637310000000000000,['labor'],0,0,0,0,1,0,0
2023-02-03,1621580000000000000,"['explain', 'explain']",0,0,0,0,0,0,0
2023-02-23,1628790000000000000,['autonomous'],0,0,0,0,0,0,0
2023-03-14,1635570000000000000,['security'],1,1,1,1,1,1,1
2023-01-05,1610890000000000000,['harm'],0,0,0,1,0,1,1
2023-01-11,1613310000000000000,['responses'],0,0,0,0,0,0,1
2023-03-17,1636710000000000000,['responses'],0,0,0,0,0,0,0
2023-03-29,1641210000000000000,['safety'],0,0,0,0,0,0,1
2023-02-06,1622610000000000000,['ethics'],1,1,1,1,1,1,1
2023-02-20,1627620000000000000,"['misinformation', 'disinformation']",1,1,1,1,1,1,1
2023-01-11,1613170000000000000,['risk'],1,1,1,1,1,1,1
2023-01-22,1617270000000000000,"['ethics', 'autonomousvehicles', 'ethicsinai']",1,0,0,0,0,1,1
2023-02-19,1627140000000000000,"['biases', 'biases']",1,1,1,1,1,1,0
2023-03-26,1640070000000000000,['accounts'],0,0,0,0,0,0,0
2023-03-25,1639700000000000000,['automatic1111'],0,0,0,0,0,0,0
2023-02-08,1623330000000000000,['response'],0,0,0,0,0,0,0
2023-02-18,1627090000000000000,['accounting'],1,1,1,1,1,1,1
2023-01-24,1617960000000000000,['trust'],0,0,0,0,0,1,1
2023-01-10,1612800000000000000,['security'],0,0,0,1,0,1,1
2023-03-18,1637040000000000000,['government'],0,0,0,0,0,0,0
2023-03-17,1636700000000000000,['labordeolivier'],1,1,1,1,0,1,1
2023-01-20,1616500000000000000,['explain'],0,0,0,0,0,0,0
2023-03-07,1632950000000000000,"['account', 'safety']",0,0,0,1,1,1,1
2023-01-16,1614930000000000000,"['fairs', 'risk', 'risk', 'riskmanagement', 'safetyculture']",0,0,0,0,0,0,0
2023-03-23,1639040000000000000,['risk'],0,0,0,0,0,0,0
2023-03-10,1634140000000000000,['governor'],1,1,1,1,0,1,1
2023-03-22,1638620000000000000,['securitynow'],0,0,0,1,1,1,1
2023-01-07,1611540000000000000,['explainer'],0,0,0,0,0,1,1
2023-01-27,1619080000000000000,['accountin'],0,0,0,0,0,0,0
2023-02-02,1621260000000000000,['trust'],1,1,1,0,0,0,1
2023-03-09,1633830000000000000,['automated'],0,0,0,0,0,1,0
2023-02-16,1626180000000000000,['responses'],0,0,0,0,0,1,1
2023-01-15,1614650000000000000,['risks'],0,0,0,1,1,1,1
2023-02-16,1626090000000000000,['propaganda'],0,0,0,0,0,1,1
2023-02-03,1621640000000000000,['risk'],1,1,1,1,1,1,1
2023-03-14,1635690000000000000,['fairness'],0,0,0,0,0,0,0
2023-03-08,1633420000000000000,['trust'],1,1,1,1,1,1,1
2023-03-26,1640140000000000000,['response'],1,1,1,1,0,1,1
2023-03-15,1636020000000000000,"['explaining', 'security']",0,0,0,0,0,1,0
2023-03-06,1632700000000000000,['harm'],1,0,1,1,1,1,1
2023-03-24,1639230000000000000,['automate'],0,0,0,0,0,0,1
2023-03-03,1631620000000000000,['injection'],0,0,0,1,0,1,1
2023-01-23,1617650000000000000,['copyright'],1,1,1,1,0,1,1
2023-02-15,1625790000000000000,"['responsibly', 'responsibleai']",1,1,1,0,0,1,1
2023-02-14,1625330000000000000,['safe'],0,0,0,0,0,0,1
2023-02-08,1623150000000000000,"['fairly', 'bias']",1,1,1,0,0,1,1
2023-03-29,1641110000000000000,['response'],0,0,0,0,0,0,0
2023-03-26,1639860000000000000,"['security', 'safeguards']",1,1,1,1,1,1,1
2023-02-17,1626580000000000000,"['biased', 'biases']",1,1,1,1,1,1,1
2023-02-02,1620940000000000000,['copyright'],0,0,0,0,0,0,0
2023-03-27,1640360000000000000,['account'],0,0,0,0,0,0,0
2023-02-08,1623350000000000000,['response'],1,1,1,0,0,1,1
2023-02-26,1629980000000000000,['automatically'],0,0,0,0,0,0,0
2023-01-11,1613070000000000000,"['sustainability', 'governor', 'safaricom']",0,0,0,0,0,0,0
2023-02-01,1620850000000000000,['response'],0,0,0,0,0,0,0
2023-01-28,1619360000000000000,['biased'],1,1,1,1,1,1,1
2023-01-22,1617170000000000000,['explainability'],0,0,0,0,0,1,0
2023-02-04,1621860000000000000,['biased'],1,1,1,1,1,1,1
2023-03-26,1639850000000000000,"['account', 'account', 'account', 'accounts']",0,0,0,0,0,0,0
2023-02-09,1623740000000000000,['explaining'],1,0,0,0,0,0,0
2023-02-11,1624420000000000000,['propaganda'],1,1,1,1,1,1,1
2023-01-30,1620000000000000000,['response'],0,0,0,0,0,1,0
2023-01-13,1613800000000000000,"['responsible', 'harm']",1,1,1,1,1,1,1
2023-02-02,1621040000000000000,"['misinformation', 'trust', 'trust']",1,0,1,1,1,1,1
2023-02-11,1624490000000000000,['response'],0,0,0,0,0,0,0
2023-03-21,1638150000000000000,['security'],1,1,1,1,1,1,1
2023-03-09,1633940000000000000,['trustworthy'],0,0,0,1,0,1,1
2023-02-20,1627550000000000000,['interpretations'],0,0,0,0,0,0,0
2023-02-13,1624920000000000000,['automatedsarcasmgenerator'],0,0,0,0,0,0,0
2023-02-23,1628800000000000000,['privacy'],0,0,0,0,0,0,0
2023-01-23,1617440000000000000,['copyright'],1,1,1,1,1,1,1
2023-02-18,1627020000000000000,['response'],0,0,0,0,0,0,0
2023-02-23,1628760000000000000,['trustworthiness'],1,1,1,1,0,1,1
2023-03-02,1631320000000000000,['trusted'],1,1,1,1,0,1,1
2023-02-28,1630590000000000000,['ethical'],0,0,0,0,0,1,1
2023-03-24,1639340000000000000,['automation'],0,0,0,0,0,0,0
2023-03-22,1638480000000000000,['security'],0,0,0,0,0,0,0
2023-02-16,1626140000000000000,['response'],0,0,0,0,0,0,0
2023-02-28,1630410000000000000,"['ethics', 'bias']",1,1,1,1,1,1,1
2023-01-08,1612150000000000000,['propaganda'],0,0,0,1,0,1,0
2023-01-10,1612770000000000000,['governor'],0,0,0,0,0,0,0
2023-03-21,1638240000000000000,['explain'],0,0,0,0,0,0,0
2023-03-05,1632460000000000000,['safe'],1,1,1,1,1,1,1
2023-01-27,1618990000000000000,"['explaining', 'explain']",0,0,0,0,0,0,0
2023-01-30,1620120000000000000,"['autonomous', 'automation']",0,0,0,0,0,0,0
2023-01-18,1615620000000000000,"['response', 'response']",0,0,0,0,0,0,0
2023-03-22,1638580000000000000,['response'],0,0,0,0,0,1,1
2023-02-03,1621470000000000000,"['misinformationoftheday', 'misinformation']",0,1,0,0,0,1,0
2023-01-17,1615300000000000000,['responses'],0,0,0,0,0,0,0
2023-01-19,1616000000000000000,"['risks', 'bias', 'explainability', 'privacy']",1,1,1,1,1,1,1
2023-03-18,1637120000000000000,['jailbreak'],1,1,1,0,0,0,1
2023-03-05,1632300000000000000,"['trusted', 'responses', 'responses']",1,1,1,1,0,1,1
2023-03-29,1641070000000000000,['responses'],0,0,0,0,0,0,0
2023-02-22,1628320000000000000,['response'],0,0,0,0,0,0,0
2023-03-20,1637840000000000000,['hallucinating'],0,0,0,0,0,1,0
2023-01-18,1615600000000000000,"['ethical', 'ethicalhacking']",0,0,0,0,0,0,0
2023-02-20,1627780000000000000,['automating'],0,0,0,0,0,0,0
2023-01-14,1614060000000000000,['fair'],0,0,0,0,0,0,0
2023-02-23,1628780000000000000,"['injections', 'injections', 'injections']",1,1,1,1,1,1,1
2023-02-11,1624470000000000000,['labordeolivier'],0,0,0,0,0,0,0
2023-01-06,1611350000000000000,['account'],0,0,0,0,0,0,0
2023-01-31,1620500000000000000,['harmoniously'],0,0,0,1,0,1,1
2023-02-10,1623990000000000000,['interpretation'],0,0,0,0,0,0,0
2023-03-09,1633850000000000000,"['autonomous', 'regulations']",0,0,0,0,0,0,0
2023-01-15,1614550000000000000,['fair'],0,0,0,0,0,0,0
2023-01-25,1618280000000000000,['safeguard'],1,1,1,1,1,1,1
2023-01-30,1619960000000000000,"['secure', 'safe']",0,0,0,0,0,0,0
2023-02-24,1629180000000000000,"['automation', 'automation', 'automation', 'automate']",1,1,1,0,1,1,1
2023-03-20,1637840000000000000,['automated'],0,0,0,0,1,1,1
2023-02-10,1624080000000000000,"['trust', 'biased']",1,1,1,1,1,1,1
2023-03-28,1640660000000000000,['accounts'],0,0,0,1,1,1,1
2023-02-12,1624820000000000000,"['propaganda', 'misinformation']",1,1,1,1,1,1,1
2023-02-22,1628380000000000000,['response'],0,0,0,0,0,1,0
2023-02-07,1622870000000000000,['biased'],1,1,1,1,1,1,1
2023-02-02,1621240000000000000,"['security', 'risk']",0,0,0,0,0,0,0
2023-01-14,1614050000000000000,['sustainability'],0,0,0,0,0,0,0
2023-03-22,1638510000000000000,['security'],1,1,1,1,0,1,1
2023-01-17,1615400000000000000,['automated'],0,0,0,0,0,0,0
2023-02-01,1620830000000000000,['bias'],1,1,1,1,1,1,1
2023-02-16,1626280000000000000,['hallucinations'],1,0,0,1,1,1,1
2023-03-15,1636050000000000000,['justiceforlucy'],0,0,0,0,1,0,0
2023-03-20,1637850000000000000,['hallucinating'],0,0,0,0,0,1,0
2023-03-26,1639840000000000000,['response'],0,0,0,0,0,0,0
2023-03-24,1639370000000000000,['safely'],0,0,0,0,0,0,0
2023-02-13,1625160000000000000,['trustworthy'],0,0,0,0,0,0,1
2023-02-02,1621090000000000000,['explain'],0,0,0,0,0,0,0
2023-03-24,1639190000000000000,['interpreter'],0,0,0,0,0,0,0
2023-01-14,1614110000000000000,['ethics'],0,0,0,0,0,0,0
2023-03-14,1635750000000000000,['biases'],1,1,1,1,0,1,1
2023-03-29,1641070000000000000,['responsibly'],1,0,1,1,0,1,1
2023-03-11,1634510000000000000,['safe'],0,0,0,0,0,0,1
2023-01-30,1620120000000000000,['fair'],0,0,0,0,0,1,1
2023-03-22,1638570000000000000,['security'],0,0,0,0,1,0,1
2023-02-15,1625940000000000000,['response'],1,0,0,0,0,1,1
2023-01-09,1612370000000000000,['response'],0,0,0,0,0,0,0
2023-03-23,1639030000000000000,['trust'],1,0,1,1,1,1,1
2023-02-08,1623390000000000000,['trusted'],1,0,1,1,1,1,1
2023-02-01,1620690000000000000,"['propaganda', 'trusted']",1,1,1,1,1,1,1
2023-03-13,1635350000000000000,['accounts'],1,0,1,1,1,1,1
2023-02-15,1625870000000000000,"['explain', 'response']",0,0,0,0,0,0,0
2023-03-22,1638580000000000000,['governance'],0,0,0,0,0,0,0
2023-01-30,1619870000000000000,['response'],0,0,0,0,0,0,0
2023-03-26,1640050000000000000,['account'],0,0,0,0,0,1,1
2023-02-20,1627560000000000000,['automation'],0,0,0,0,0,0,0
2023-02-24,1628930000000000000,"['security', 'privacy']",0,0,0,0,0,0,0
2023-01-09,1612340000000000000,['hallucination'],1,0,1,1,0,1,1
2023-03-07,1633000000000000000,['responses'],0,0,0,0,0,0,0
2023-02-08,1623430000000000000,['jailbreak'],1,0,1,1,1,1,1
2023-02-17,1626710000000000000,['safe'],1,1,1,1,1,1,1
2023-03-21,1638100000000000000,['response'],0,0,0,0,0,0,0
2023-02-15,1625890000000000000,"['automation', 'automating']",0,0,0,0,0,0,0
2023-03-02,1631360000000000000,['response'],0,0,0,1,1,1,0
2023-02-03,1621430000000000000,['responses'],0,0,0,0,0,0,0
2023-03-25,1639570000000000000,['safeguards'],1,1,1,1,1,1,1
2023-03-02,1631320000000000000,['justice'],1,1,1,1,1,1,1
2023-03-03,1631750000000000000,['bias'],1,0,1,0,1,1,1
2023-03-16,1636290000000000000,"['accounts', 'accounts', 'security']",1,0,1,1,1,1,1
2023-02-17,1626580000000000000,['ethics'],0,0,0,0,0,0,0
2023-02-24,1629140000000000000,"['harm', 'trust']",1,0,1,1,1,1,1
2023-02-06,1622550000000000000,['transparency'],1,0,1,1,0,1,1
2023-01-18,1615500000000000000,['ethical'],0,0,0,0,0,1,1
2023-02-10,1624110000000000000,"['privacy', 'privacy']",1,1,1,1,1,1,1
2023-02-06,1622630000000000000,['ethics'],1,0,1,1,1,1,1
2023-02-08,1623320000000000000,['trusted'],0,0,0,0,0,0,0
2023-02-09,1623710000000000000,['explain'],0,0,0,0,0,0,0
2023-03-14,1635610000000000000,['automated'],0,0,0,0,0,1,0
2023-02-07,1622890000000000000,['laboratory'],0,0,0,0,0,0,0
2023-02-17,1626630000000000000,"['explains', 'responses', 'biased']",1,1,1,1,0,1,1
2023-03-20,1637790000000000000,['safe'],1,1,1,0,0,0,0
2023-01-04,1610540000000000000,['responses'],0,0,0,0,0,0,0
2023-03-17,1636730000000000000,['government'],0,0,0,0,0,0,0
2023-03-02,1631180000000000000,['jailbreak'],0,0,0,0,0,0,0
2023-02-02,1621240000000000000,['bias'],1,1,1,1,1,1,1
2023-02-09,1623720000000000000,['responsible'],0,0,0,0,0,0,1
2023-02-09,1623680000000000000,['bias'],1,0,1,1,0,1,1
2023-02-06,1622710000000000000,['response'],0,0,0,0,0,0,0
2023-03-27,1640400000000000000,['safeguards'],0,0,0,0,0,0,0
2023-02-24,1629150000000000000,['autonomy'],0,0,0,0,0,1,1
2023-03-19,1637530000000000000,['safety'],1,1,1,1,1,1,1
2023-03-15,1636040000000000000,['guardrails'],1,0,0,0,0,0,0
2023-02-05,1622260000000000000,['risks'],0,1,0,0,1,0,0
2023-03-01,1630740000000000000,['justice'],0,0,0,0,0,0,0
2023-03-15,1635850000000000000,['bias'],1,0,1,1,0,1,1
2023-02-21,1628070000000000000,['risks'],1,1,1,1,1,1,1
2023-01-12,1613360000000000000,['safety'],0,0,0,0,0,1,1
2023-02-01,1620790000000000000,['regulation'],0,0,0,0,0,1,1
2023-02-02,1621090000000000000,['governance'],0,0,0,0,0,0,0
2023-01-11,1613220000000000000,['responses'],0,0,0,0,0,0,0
2023-03-25,1639430000000000000,['ethics'],1,1,1,0,1,1,1
2023-02-13,1624920000000000000,['bias'],1,1,1,0,1,1,1
2023-02-18,1627050000000000000,['trust'],0,0,0,0,0,0,0
2023-01-19,1616160000000000000,['ethics'],0,0,0,0,0,0,1
2023-01-09,1612290000000000000,['regulate'],0,0,0,0,1,0,1
2023-02-22,1628460000000000000,['ethics'],0,0,0,0,0,0,1
2023-01-11,1613300000000000000,['automation'],1,0,1,1,1,1,1
2023-02-25,1629510000000000000,['safe'],1,1,1,0,0,1,0
2023-01-19,1615900000000000000,['governors'],1,0,1,1,0,1,1
2023-01-08,1612220000000000000,['explain'],0,0,0,0,0,0,0
2023-03-04,1632130000000000000,['explain'],0,0,0,0,0,0,0
2023-01-24,1617980000000000000,['response'],0,0,0,0,0,0,1
2023-01-30,1620110000000000000,['security'],1,1,1,1,1,1,1
2023-02-20,1627690000000000000,['safeguarding'],0,0,0,0,0,0,0
2023-03-15,1636030000000000000,['guardrails'],0,0,0,0,0,1,1
2023-03-16,1636440000000000000,['automate'],0,0,0,0,0,0,0
2023-03-10,1634240000000000000,"['security', 'security']",1,1,1,1,1,1,1
2023-02-13,1625210000000000000,['account'],0,0,0,0,0,0,0
2023-01-14,1614170000000000000,['trust'],1,1,1,0,0,1,1
2023-03-18,1637130000000000000,['labordeolivier'],1,1,1,0,1,1,0
2023-02-11,1624460000000000000,['privacy'],1,1,1,1,1,1,1
2023-03-15,1636020000000000000,['securing'],0,0,0,0,0,1,1
2023-03-10,1634040000000000000,['automated'],0,0,0,0,0,0,0
2023-03-02,1631290000000000000,['security'],0,0,0,0,0,0,1
2023-02-13,1625110000000000000,['trust'],0,0,0,0,0,0,0
2023-02-19,1627280000000000000,['risk'],1,1,1,1,0,1,1
2023-03-18,1637160000000000000,['sustainability'],0,0,0,0,0,0,0
2023-03-22,1638330000000000000,['ethics'],0,0,0,0,0,0,0
2023-03-08,1633420000000000000,"['biased', 'bias', 'stereotypes']",1,1,1,1,1,1,1
2023-02-27,1630220000000000000,"['explainer', 'explains']",0,0,0,0,0,0,0
2023-02-18,1626850000000000000,['automation'],0,0,0,0,0,0,0
2023-03-28,1640550000000000000,['risk'],1,1,1,1,1,1,1
2023-01-10,1612880000000000000,"['governance', 'automation']",0,0,0,0,0,0,0
2023-01-24,1617840000000000000,"['risk', 'ethic', 'ethic']",0,0,0,0,0,1,1
2023-01-04,1610750000000000000,['ethical'],0,0,0,0,0,0,1
2023-02-02,1620950000000000000,['response'],0,0,0,0,0,0,0
2023-02-21,1628020000000000000,['automatic'],0,0,0,0,0,0,0
2023-03-23,1638920000000000000,"['harm', 'harm', 'ethicalai']",1,1,1,1,1,1,1
2023-03-25,1639680000000000000,"['ethicsinai', 'responsibleai', 'ethicsmatter']",0,0,0,0,0,1,1
2023-01-06,1611500000000000000,['response'],0,0,0,0,0,0,0
2023-03-16,1636440000000000000,['responses'],0,0,0,0,0,0,0
2023-02-10,1624010000000000000,['safeguarding'],0,0,0,0,0,1,1
2023-03-26,1640060000000000000,['trust'],0,0,0,0,0,0,1
2023-02-21,1628030000000000000,['hallucinations'],0,0,0,0,0,1,1
2023-01-14,1614180000000000000,['bias'],1,0,1,1,0,1,1
2023-02-17,1626510000000000000,"['manipulate', 'manipulation']",1,1,1,1,1,1,1
2023-02-17,1626620000000000000,['automation'],0,0,0,0,0,0,0
2023-01-31,1620250000000000000,"['bias', 'biased']",1,1,1,1,0,1,1
2023-03-16,1636350000000000000,['automate'],0,0,0,0,0,0,0
2023-03-20,1637730000000000000,['accounts'],0,0,0,0,0,0,0
2023-02-12,1624870000000000000,"['response', 'jailbreakchatgpt']",1,1,1,1,1,1,1
2023-03-23,1639040000000000000,"['automated', 'transparency', 'labor']",1,0,0,1,0,1,1
2023-03-18,1636950000000000000,"['jailbreak', 'security', 'jailbreak']",1,1,1,1,1,1,1
2023-01-21,1616910000000000000,['accountants'],0,0,0,0,0,0,0
2023-03-10,1634110000000000000,['security'],1,1,1,1,1,1,1
2023-02-17,1626510000000000000,['misinformation'],0,0,0,0,0,0,1
2023-02-12,1624730000000000000,['labordeolivier'],0,0,0,0,0,0,0
2023-02-05,1622100000000000000,"['responses', 'bias']",1,1,1,1,0,1,1
2023-01-05,1610810000000000000,['security'],0,0,0,0,0,0,0
2023-02-23,1628670000000000000,['safety'],0,0,0,1,0,1,1
2023-03-08,1633420000000000000,['ethics'],0,0,0,0,0,0,1
2023-02-10,1623930000000000000,"['response', 'response']",0,0,0,0,0,0,0
2023-03-09,1633960000000000000,['automated'],0,0,0,0,0,0,0
2023-01-18,1615510000000000000,['account'],0,0,0,0,0,0,0
2023-02-20,1627630000000000000,['misinformation'],0,0,0,1,0,1,1
2023-03-12,1635010000000000000,['justice'],0,0,0,0,0,1,1
